TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
20,11380570,33521.99,서울특별시,은평구,대조동
20,11380580,30574.28,서울특별시,은평구,응암1동
20,11380590,22088.95,서울특별시,은평구,응암2동
20,11380600,24463.8,서울특별시,은평구,응암3동
20,11380625,46780.08,서울특별시,은평구,역촌동
20,11380631,24756.65,서울특별시,은평구,신사1동
20,11380632,18121.51,서울특별시,은평구,신사2동
20,11380640,13106.22,서울특별시,은평구,증산동
20,11380650,20101.65,서울특별시,은평구,수색동
20,11380690,60494.29,서울특별시,은평구,진관동
20,11410520,15518.88,서울특별시,서대문구,천연동
20,11410555,8880.91,서울특별시,서대문구,북아현동
20,11410565,28171.95,서울특별시,서대문구,충현동
20,11410585,51385.95,서울특별시,서대문구,신촌동
20,11410615,36369.46,서울특별시,서대문구,연희동
20,11410620,26459.97,서울특별시,서대문구,홍제1동
20,11410640,20069.43,서울특별시,서대문구,홍제3동
20,11410655,10919.83,서울특별시,서대문구,홍제2동
20,11410660,20308.3,서울특별시,서대문구,홍은1동
20,11410685,24237.28,서울특별시,서대문구,홍은2동
20,11410690,13269.67,서울특별시,서대문구,남가좌1동
20,11410700,28971.59,서울특별시,서대문구,남가좌2동
20,11410710,15579.94,서울특별시,서대문구,북가좌1동
20,11410720,29987.78,서울특별시,서대문구,북가좌2동
20,11440555,26705.98,서울특별시,마포구,아현동
20,11440565,37077.31,서울특별시,마포구,공덕동
20,11440585,22654.88,서울특별시,마포구,도화동
20,11440590,22092.17,서울특별시,마포구,용강동
20,11440600,22199.53,서울특별시,마포구,대흥동
20,11440610,23269.63,서울특별시,마포구,염리동
20,11440630,22023.78,서울특별시,마포구,신수동
20,11440655,32830.74,서울특별시,마포구,서강동
20,11440660,84513.48,서울특별시,마포구,서교동
20,11440680,23418.14,서울특별시,마포구,합정동
20,11440690,23214.94,서울특별시,마포구,망원1동
20,11440700,18614.63,서울특별시,마포구,망원2동
20,11440710,18921.0,서울특별시,마포구,연남동
20,11440720,22348.96,서울특별시,마포구,성산1동
20,11440730,39159.77,서울특별시,마포구,성산2동
20,11440740,46523.94,서울특별시,마포구,상암동
20,11470510,38796.76,서울특별시,양천구,목1동
20,11470520,29502.79,서울특별시,양천구,목2동
20,11470530,14968.92,서울특별시,양천구,목3동
20,11470540,21703.61,서울특별시,양천구,목4동
20,11470550,45560.3,서울특별시,양천구,목5동
20,11470560,19599.6,서울특별시,양천구,신월1동
20,11470570,12989.35,서울특별시,양천구,신월2동
20,11470580,14090.87,서울특별시,양천구,신월3동
20,11470590,11657.76,서울특별시,양천구,신월4동
20,11470600,14111.77,서울특별시,양천구,신월5동
20,11470610,8993.49,서울특별시,양천구,신월6동
20,11470611,17622.07,서울특별시,양천구,신월7동
20,11470620,16735.53,서울특별시,양천구,신정1동
20,11470630,17904.14,서울특별시,양천구,신정2동
20,11470640,53148.98,서울특별시,양천구,신정3동
20,11470650,37735.39,서울특별시,양천구,신정4동
20,11470670,20595.82,서울특별시,양천구,신정6동
20,11470680,28492.82,서울특별시,양천구,신정7동
20,11500510,35958.24,서울특별시,강서구,염창동
20,11500520,27599.38,서울특별시,강서구,등촌1동
20,11500530,18646.3,서울특별시,강서구,등촌2동
20,11500535,34916.81,서울특별시,강서구,등촌3동
20,11500540,49359.71,서울특별시,강서구,화곡1동
20,11500550,13096.22,서울특별시,강서구,화곡2동
20,11500560,20860.57,서울특별시,강서구,화곡3동
20,11500570,18737.1,서울특별시,강서구,화곡4동
20,11500590,31527.46,서울특별시,강서구,화곡본동
20,11500591,25252.48,서울특별시,강서구,화곡6동
20,11500593,34325.04,서울특별시,강서구,화곡8동
20,11500603,50813.67,서울특별시,강서구,가양1동
20,11500604,14222.11,서울특별시,강서구,가양2동
20,11500605,12051.04,서울특별시,강서구,가양3동
20,11500611,45260.88,서울특별시,강서구,발산1동
20,11500615,30930.1,서울특별시,강서구,우장산동
20,11500620,42625.35,서울특별시,강서구,공항동
20,11500630,37189.51,서울특별시,강서구,방화1동
20,11500640,38189.25,서울특별시,강서구,방화2동
20,11500641,19486.35,서울특별시,강서구,방화3동
20,11530510,37073.22,서울특별시,구로구,신도림동
20,11530520,18875.1,서울특별시,구로구,구로1동
20,11530530,24949.63,서울특별시,구로구,구로2동
20,11530540,39430.4,서울특별시,구로구,구로3동
20,11530550,17927.48,서울특별시,구로구,구로4동
20,11530560,38076.66,서울특별시,구로구,구로5동
20,11530595,6981.11,서울특별시,구로구,가리봉동
20,11530720,34121.73,서울특별시,구로구,고척1동
20,11530730,18495.85,서울특별시,구로구,고척2동
20,11530740,32533.36,서울특별시,구로구,개봉1동
20,11530750,27897.99,서울특별시,구로구,개봉2동
20,11530760,17581.32,서울특별시,구로구,개봉3동
20,11530770,21370.32,서울특별시,구로구,오류1동
20,11530780,41312.76,서울특별시,구로구,오류2동
20,11530790,22338.28,서울특별시,구로구,수궁동
20,11530800,10228.62,서울특별시,구로구,항동
20,11545510,49306.79,서울특별시,금천구,가산동
20,11545610,47672.6,서울특별시,금천구,독산1동
20,11545620,12603.33,서울특별시,금천구,독산2동
20,11545630,16255.52,서울특별시,금천구,독산3동
20,11545640,15865.04,서울특별시,금천구,독산4동
